Relationship, Support, Confidence, Lift, Leverage, Conviction
"{88631}' -> '{92490, 95398}", 0.022849, 0.921569, 36.809061, 0.022228, 12.430785
"{92490, 95398}' -> '{88631}", 0.022849, 0.912621, 36.809061, 0.022228, 11.160698
"{92490, 88631}' -> '{95398}", 0.022849, 0.969072, 36.575806, 0.022224, 31.476664
"{95398, 88631}' -> '{92490}", 0.022849, 0.949495, 36.851153, 0.022229, 19.289839
"{51657}' -> '{92490, 88631}", 0.022849, 0.878505, 37.259466, 0.022236, 8.036704
"{92490}' -> '{51657, 88631}", 0.022849, 0.886792, 37.227185, 0.022235, 8.622914
"{88631}' -> '{51657, 92490}", 0.022849, 0.921569, 36.809061, 0.022228, 12.430785
"{51657, 92490}' -> '{88631}", 0.022849, 0.912621, 36.809061, 0.022228, 11.160698
"{51657, 88631}' -> '{92490}", 0.022849, 0.959184, 37.227185, 0.022235, 23.868740
"{92490, 88631}' -> '{51657}", 0.022849, 0.969072, 37.259466, 0.022236, 31.492383
"{51657}' -> '{24746, 88631}", 0.022849, 0.878505, 37.259466, 0.022236, 8.036704
"{24746}' -> '{51657, 88631}", 0.022849, 0.903846, 37.943093, 0.022247, 10.152260
"{88631}' -> '{51657, 24746}", 0.022849, 0.921569, 37.537954, 0.022240, 12.436983
"{51657, 24746}' -> '{88631}", 0.022849, 0.930693, 37.537954, 0.022240, 14.070838
"{51657, 88631}' -> '{24746}", 0.022849, 0.959184, 37.943093, 0.022247, 23.880651
"{24746, 88631}' -> '{51657}", 0.022849, 0.969072, 37.259466, 0.022236, 31.492383
"{12305}' -> '{24746, 88631}", 0.022849, 0.610390, 25.888071, 0.021966, 2.506150
"{24746}' -> '{12305, 88631}", 0.022849, 0.903846, 37.559829, 0.022240, 10.149733
"{88631}' -> '{12305, 24746}", 0.022849, 0.921569, 37.537954, 0.022240, 12.436983
"{12305, 24746}' -> '{88631}", 0.022849, 0.930693, 37.537954, 0.022240, 14.070838
"{12305, 88631}' -> '{24746}", 0.022849, 0.949495, 37.559829, 0.022240, 19.299465
"{24746, 88631}' -> '{12305}", 0.022849, 0.969072, 25.888071, 0.021966, 31.122994
"{92490}' -> '{7190, 88631}", 0.022606, 0.877358, 36.831151, 0.021992, 7.959613
"{7190}' -> '{92490, 88631}", 0.022606, 0.885714, 37.565243, 0.022004, 8.543692
